"id","trial","type","explain","card1","card2","card3","trialid","memory",,,,,,,,,,
"pa6.02.c",19,0,0,2333,1111,3222,2796,1,,,,,,,,,,
"pa6.02.c",20,8,0,1222,1133,1311,23407,1,,,,,,,,,,
"pa6.02.c",21,13,0,2111,2121,2131,60622,0,,,,,,,,,,
"pa6.02.c",22,0,0,3212,2323,1131,20045,0,,,,,,,,,,
"pa6.02.c",23,-2,0,3223,2123,1333,59376,1,,,,,,,,,,
"pa6.02.c",24,-7,0,3131,3123,3333,83800,0,,,,,,,,,,
"pa6.03.a",1,15,1,3322,3322,3322,85365,0,,,,,,,,,,
"pa6.03.a",2,-1,1,1322,3322,2323,54025,0,,,,,,,,,,
"pa6.03.a",3,14,1,1221,1222,1223,32927,0,,,,,,,,,,
"pa6.03.a",4,-11,1,1112,2213,1332,4714,0,,,,,,,,,,
"pa6.03.a",5,0,0,1232,2113,3321,42376,0,,,,,,,,,,
"pa6.03.a",6,2,0,3231,2133,1332,58084,0,,,,,,,,,,
"pa6.03.a",7,-13,0,1323,3313,1132,21522,0,,,,,,,,,,
"pa6.03.a",8,7,0,3232,1232,2232,42980,0,,,,,,,,,,
"pa6.03.a",9,-8,0,2322,1111,1233,1176,0,,,,,,,,,,
"pa6.03.a",10,-11,0,3111,1221,1313,33408,0,,,,,,,,,,
"pa6.03.a",11,14,0,3122,3121,3123,83297,0,,,,,,,,,,
"pa6.03.a",12,0,0,2123,3211,1332,57940,0,,,,,,,,,,
"pa6.03.a",13,-1,0,1223,3311,2131,38471,0,,,,,,,,,,
"pa6.03.a",14,4,0,2223,3232,1211,27414,0,,,,,,,,,,
"pa6.03.a",15,1,0,2113,3333,1223,38285,0,,,,,,,,,,
"pa6.03.a",16,-14,0,2322,3122,3332,80593,0,,,,,,,,,,
"pa6.03.a",17,11,0,3222,3122,3322,83698,0,,,,,,,,,,
"pa6.03.a",18,0,0,2121,3213,1332,57845,0,,,,,,,,,,
"pa6.03.a",19,-4,0,2331,3322,1113,8834,0,,,,,,,,,,
"pa6.03.a",20,0,0,3123,2332,1211,27766,0,,,,,,,,,,
"pa6.03.a",21,-2,0,1312,2213,3121,48446,0,,,,,,,,,,
"pa6.03.a",22,8,0,2122,2211,2333,65923,0,,,,,,,,,,
"pa6.03.a",23,-7,0,1313,3221,2221,50266,0,,,,,,,,,,
"pa6.03.a",24,13,0,3111,3121,3131,82447,0,,,,,,,,,,
"pa6.03.b",1,15,1,3112,3112,3112,85350,0,,,,,,,,,,
"pa6.03.b",2,-1,1,2122,1112,3133,5047,0,,,,,,,,,,
"pa6.03.b",3,14,1,3311,3313,3312,85237,0,,,,,,,,,,
"pa6.03.b",4,-11,1,3211,2223,2211,71318,0,,,,,,,,,,
"pa6.03.b",5,0,0,2331,1123,3212,17373,1,,,,,,,,,,
"pa6.03.b",6,7,0,2323,1323,3323,55622,1,,,,,,,,,,
"pa6.03.b",7,2,0,2332,1131,3233,20109,0,,,,,,,,,,
"pa6.03.b",8,-13,0,3111,2133,3221,70791,0,,,,,,,,,,
"pa6.03.b",9,-8,0,1311,1122,2233,13093,1,,,,,,,,,,
"pa6.03.b",10,-1,0,2312,2111,2212,60957,0,,,,,,,,,,
"pa6.03.b",11,14,0,2323,2321,2322,79865,1,,,,,,,,,,
"pa6.03.b",12,0,0,1133,2211,3322,24730,0,,,,,,,,,,
"pa6.03.b",13,-11,0,2313,2221,3113,74108,0,,,,,,,,,,
"pa6.03.b",14,4,0,3132,2113,1121,10876,1,,,,,,,,,,
"pa6.03.b",15,0,0,2313,3232,1121,11632,1,,,,,,,,,,
"pa6.03.b",16,-14,0,2111,1131,1311,18552,0,,,,,,,,,,
"pa6.03.b",17,-4,0,2222,3312,1332,58298,1,,,,,,,,,,
"pa6.03.b",18,1,0,2323,3113,1233,45150,0,,,,,,,,,,
"pa6.03.b",19,11,0,2112,2312,2212,62283,0,,,,,,,,,,
"pa6.03.b",20,8,0,2313,2221,2132,69287,1,,,,,,,,,,
"pa6.03.b",21,-7,0,3211,3113,3131,83089,1,,,,,,,,,,
"pa6.03.b",22,-2,0,1311,1111,1231,1018,0,,,,,,,,,,
"pa6.03.b",23,0,0,1132,3313,2221,22298,0,,,,,,,,,,
"pa6.03.b",24,13,0,1111,1131,1121,160,1,,,,,,,,,,
"pa6.03.c",1,15,1,1233,1233,1233,85396,0,,,,,,,,,,
"pa6.03.c",2,-1,1,3133,1233,2331,45185,0,,,,,,,,,,
"pa6.03.c",3,14,1,3211,3212,3213,84505,0,,,,,,,,,,
"pa6.03.c",4,-11,1,3313,1321,3311,52777,0,,,,,,,,,,
"pa6.03.c",5,2,0,3322,2123,1221,34072,0,,,,,,,,,,
"pa6.03.c",6,7,0,1323,3323,2323,55622,1,,,,,,,,,,
"pa6.03.c",7,-13,0,3321,1213,1231,30841,0,,,,,,,,,,
"pa6.03.c",8,-8,0,2233,1311,1122,13093,1,,,,,,,,,,
"pa6.03.c",9,0,0,1123,3212,2331,17373,1,,,,,,,,,,
"pa6.03.c",10,-1,0,2323,3122,1222,36958,0,,,,,,,,,,
"pa6.03.c",11,14,0,2321,2323,2322,79865,1,,,,,,,,,,
"pa6.03.c",12,4,0,2113,1121,3132,10876,1,,,,,,,,,,
"pa6.03.c",13,-11,0,3313,2213,3121,73581,0,,,,,,,,,,
"pa6.03.c",14,0,0,3332,1121,2213,11308,0,,,,,,,,,,
"pa6.03.c",15,-14,0,3332,3131,1313,50909,0,,,,,,,,,,
"pa6.03.c",16,11,0,3233,3133,3333,84468,0,,,,,,,,,,
"pa6.03.c",17,1,0,3121,1211,2331,27736,0,,,,,,,,,,
"pa6.03.c",18,-4,0,3312,2222,1332,58298,1,,,,,,,,,,
"pa6.03.c",19,0,0,1121,3232,2313,11632,1,,,,,,,,,,
"pa6.03.c",20,-2,0,2331,2112,2213,62330,0,,,,,,,,,,
"pa6.03.c",21,-7,0,3113,3131,3211,83089,1,,,,,,,,,,
"pa6.03.c",22,13,0,1121,1111,1131,160,1,,,,,,,,,,
"pa6.03.c",23,8,0,2221,2132,2313,69287,1,,,,,,,,,,
"pa6.03.c",24,0,0,3132,2213,1321,51931,0,,,,,,,,,,
"pa6.04.a",1,15,1,2133,2133,2133,85394,0,,,,,,,,,,
"pa6.04.a",2,-1,1,2123,3331,1211,27035,0,,,,,,,,,,
"pa6.04.a",3,14,1,3323,3322,3321,85301,0,,,,,,,,,,
"pa6.04.a",4,-11,1,1212,2132,2333,29518,0,,,,,,,,,,
"pa6.04.a",5,2,0,3211,2112,1313,49757,0,,,,,,,,,,
"pa6.04.a",6,7,0,2222,1222,3222,36622,0,,,,,,,,,,
"pa6.04.a",7,-8,0,2222,2132,3312,69353,0,,,,,,,,,,
"pa6.04.a",8,0,0,3213,2121,1332,57845,0,,,,,,,,,,
"pa6.04.a",9,-13,0,3112,1231,1221,33099,0,,,,,,,,,,
"pa6.04.a",10,14,0,3133,3132,3131,83991,0,,,,,,,,,,
"pa6.04.a",11,0,0,2223,3311,1132,22375,0,,,,,,,,,,
"pa6.04.a",12,-11,0,3212,2132,2333,69773,0,,,,,,,,,,
"pa6.04.a",13,4,0,1223,3231,2212,38646,0,,,,,,,,,,
"pa6.04.a",14,-1,0,3123,1311,2233,46849,0,,,,,,,,,,
"pa6.04.a",15,0,0,1333,2222,3111,59710,0,,,,,,,,,,
"pa6.04.a",16,-4,0,3122,2333,1111,2787,0,,,,,,,,,,
"pa6.04.a",17,11,0,1333,1233,1133,23673,0,,,,,,,,,,
"pa6.04.a",18,-14,0,1332,2321,2223,58312,0,,,,,,,,,,
"pa6.04.a",19,1,0,2222,1312,3132,48531,0,,,,,,,,,,
"pa6.04.a",20,8,0,3322,3133,3211,84364,0,,,,,,,,,,
"pa6.04.a",21,0,0,1232,3123,2311,43040,0,,,,,,,,,,
"pa6.04.a",22,-7,0,1221,2321,3332,34707,0,,,,,,,,,,
"pa6.04.a",23,13,0,1131,1111,1121,160,0,,,,,,,,,,
"pa6.04.a",24,-2,0,3123,1313,2223,50338,0,,,,,,,,,,
"pa6.04.b",1,15,1,3321,3321,3321,85338,0,,,,,,,,,,
"pa6.04.b",2,-1,1,2132,2222,2313,69327,0,,,,,,,,,,
"pa6.04.b",3,14,1,3122,3123,3121,83297,0,,,,,,,,,,
"pa6.04.b",4,-11,1,2232,1323,1132,21491,0,,,,,,,,,,
"pa6.04.b",5,0,0,1231,2112,3323,40311,0,,,,,,,,,,
"pa6.04.b",6,7,0,1122,3122,2122,13822,1,,,,,,,,,,
"pa6.04.b",7,-13,0,2333,3133,3131,82187,1,,,,,,,,,,
"pa6.04.b",8,-8,0,3233,1313,3123,50881,1,,,,,,,,,,
"pa6.04.b",9,2,0,2333,3132,1231,41270,0,,,,,,,,,,
"pa6.04.b",10,-11,0,1221,2313,1121,9859,1,,,,,,,,,,
"pa6.04.b",11,4,0,2322,1331,3313,57129,0,,,,,,,,,,
"pa6.04.b",12,0,0,3122,1311,2233,46848,1,,,,,,,,,,
"pa6.04.b",13,-1,0,2122,2213,2333,66008,0,,,,,,,,,,
"pa6.04.b",14,14,0,2131,2133,2132,68025,0,,,,,,,,,,
"pa6.04.b",15,-4,0,2123,1111,3332,2031,1,,,,,,,,,,
"pa6.04.b",16,11,0,1123,1323,1223,15593,0,,,,,,,,,,
"pa6.04.b",17,1,0,2311,3121,1231,41022,0,,,,,,,,,,
"pa6.04.b",18,-14,0,2321,1312,2223,48557,1,,,,,,,,,,
"pa6.04.b",19,0,0,2233,3111,1322,53808,1,,,,,,,,,,
"pa6.04.b",20,13,0,2311,2321,2331,78250,0,,,,,,,,,,
"pa6.04.b",21,-2,0,1222,1133,1331,23413,1,,,,,,,,,,
"pa6.04.b",22,0,0,2222,3313,1131,19710,0,,,,,,,,,,
"pa6.04.b",23,8,0,2132,2211,2323,69164,0,,,,,,,,,,
"pa6.04.b",24,-7,0,3132,1131,2221,19657,1,,,,,,,,,,
"pa6.04.c",1,15,1,3232,3232,3232,85371,0,,,,,,,,,,
"pa6.04.c",2,-1,1,1212,1222,1231,28304,0,,,,,,,,,,
"pa6.04.c",3,14,1,2131,2132,2133,68025,0,,,,,,,,,,
"pa6.04.c",4,-11,1,2313,2231,3133,76338,0,,,,,,,,,,
"pa6.04.c",5,-8,0,3123,3233,1313,50881,1,,,,,,,,,,
"pa6.04.c",6,-13,0,2333,3133,3131,82187,1,,,,,,,,,,
